name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,make,model,model_trim,engine_cc,power_bhp,mileage_value,mileage_unit,torque_nm,torque_rpm,owner_simple,car_age,bhp_per_litre,nm_per_litre,log_selling_price,log_km_driven,log_engine_cc,log_power_bhp,log_torque_nm,flag_outlier_selling_price,flag_outlier_km_driven,flag_outlier_engine_cc,flag_outlier_power_bhp,flag_outlier_torque_nm,car_cluster
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto 800,Alto 800 LXI,796.0,47.3,24.7,kmpl,69.0,3500.0,First,8,59.42211055276381,86.68341708542714,12.524530013005734,10.239995502805316,6.680854678790215,3.877431560658527,4.248495242049359,0,0,0,0,0,2
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7.0,Chevrolet,Enjoy TCDi,Enjoy TCDi LTZ 7 Seater,1248.0,73.8,18.2,kmpl,172.5,1750.0,First,12,59.13461538461538,138.22115384615384,12.611541086966115,11.156264806643742,7.130098510125578,4.314817884980432,5.156177599386914,0,0,0,0,0,0
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,Maruti,Wagon R,Wagon R LXI Minor,1061.0,67.0,18.9,kmpl,84.0,3500.0,First,16,63.14797360980208,79.17059377945336,12.301387370778713,11.695255355062795,6.967909201801884,4.219507705176107,4.442651256490317,0,0,0,0,0,1
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0,Maruti,Omni E,Omni E MPI STD BS IV,796.0,37.0,16.8,kmpl,59.0,2500.0,First,7,46.482412060301506,74.12060301507537,12.449018824140563,10.12667110305036,6.680854678790215,3.6375861597263857,4.0943445622221,0,0,0,0,0,2
Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,Maruti,Vitara Brezza,Vitara Brezza LDi Option,1248.0,88.5,24.3,kmpl,200.0,1750.0,First,8,70.91346153846153,160.25641025641025,13.415034483903348,11.156264806643742,7.130098510125578,4.4942386252808095,5.303304908059076,0,0,0,0,0,0
Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Individual,Manual,Second Owner,,,,,,Fiat,Palio 1.2,Palio 1.2 ELX,,,,unknown,,,Second,22,,,11.156264806643742,10.819798284210286,,,,0,0,0,0,0,1
Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,Maruti,Omni 8,Omni 8 Seater BSIV,796.0,37.0,14.0,kmpl,59.820564999999995,3000.0,Second,13,46.482412060301506,75.15146356783919,11.918397239722838,10.463131911491967,6.680854678790215,3.6375861597263857,4.107927971913402,0,0,0,0,0,1
Hyundai i20 1.2 Asta Dual Tone,2018,730000,4000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,Hyundai,i20 1.2,i20 1.2 Asta Dual Tone,1197.0,81.83,18.6,kmpl,114.7,4000.0,First,7,68.3625730994152,95.82289055973266,13.500801182986649,8.294299608857235,7.088408778675395,4.416790314610172,4.751000634199631,0,0,0,0,0,2
Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,Maruti,Vitara Brezza,Vitara Brezza LDi,1248.0,88.5,24.3,kmpl,200.0,1750.0,First,8,70.91346153846153,160.25641025641025,13.384729180332174,9.692828247710418,7.130098510125578,4.4942386252808095,5.303304908059076,0,0,0,0,0,0
Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4.0,Maruti,Alto 800,Alto 800 CNG LXI Optional,796.0,40.3,33.44,km/kg,60.0,3500.0,Second,6,50.62814070351758,75.37688442211055,12.706850963741102,9.210440366976517,6.680854678790215,3.720862499966987,4.110873864173311,0,0,0,0,0,2
Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,Maruti,Alto K10,Alto K10 VXI Airbag,998.0,67.1,23.95,kmpl,90.0,3500.0,First,6,67.23446893787575,90.18036072144288,12.810391344620207,9.61587214452889,6.906754778648554,4.220977213155467,4.51085950651685,0,0,0,0,0,2
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,Hyundai,Verna VTVT,Verna VTVT 1.6 SX Option,1591.0,121.3,17.0,kmpl,151.0,4850.0,First,6,76.24135763670647,94.90886235072281,13.954403427152533,8.517393171418904,7.3727463664043285,4.8064770426931265,5.0238805208462765,0,0,0,0,0,2
Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,Datsun,GO D,GO D,1198.0,67.0,20.63,kmpl,104.0,4000.0,First,9,55.92654424040067,86.81135225375627,11.918397239722838,10.645448706505872,7.089243155027514,4.219507705176107,4.653960350157523,0,0,0,0,0,2
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,Tata,Safari DICOR,Safari DICOR 2.2 LX 4x2,2179.0,138.03,13.93,kmpl,320.0,2200.0,Second,14,63.34557136301056,146.85635612666363,12.959846800844963,11.002116507732017,7.687080155783135,4.9346897371814515,5.771441123130016,0,0,1,0,0,3
Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,Maruti,800 Std,800 Std,796.0,37.0,16.1,kmpl,59.0,2500.0,First,13,46.482412060301506,74.12060301507537,11.918397239722838,11.23850177707664,6.680854678790215,3.6375861597263857,4.0943445622221,0,0,0,0,0,1
Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5.0,Jeep,Compass 1.4,Compass 1.4 Limited Plus BSIV,1368.0,160.77,16.0,kmpl,250.0,2125.0,First,6,117.5219298245614,182.7485380116959,14.557448378884015,8.517393171418904,7.221835825288449,5.0861755733416025,5.5254529391317835,1,0,0,1,0,3
Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,Honda,City i,City i VTEC VX,1497.0,117.3,17.8,kmpl,145.0,4600.0,First,7,78.3567134268537,96.86038744154976,13.73755009757506,10.27163147557801,7.311886164077165,4.773223770984341,4.983606621708336,0,0,0,0,0,2
Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0,Honda,City V,City V MT,1497.0,116.3,16.8,kmpl,146.0,4800.0,First,12,77.68871075484302,97.52839011356045,12.959846800844963,11.3655964644899,7.311886164077165,4.76473475565943,4.990432586778736,0,0,0,0,0,2
Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,Maruti,Swift Dzire,Swift Dzire VXi AT,1197.0,83.14,18.5,kmpl,115.0,4000.0,First,7,69.45697577276525,96.0735171261487,13.42246945133505,10.056251557087757,7.088408778675395,4.432482078162375,4.7535901911063645,0,0,0,0,0,2
Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,Maruti,Vitara Brezza,Vitara Brezza VDi,1248.0,88.5,24.3,kmpl,200.0,1750.0,First,7,70.91346153846153,160.25641025641025,13.617059619240436,10.392098241730961,7.130098510125578,4.4942386252808095,5.303304908059076,0,0,0,0,0,0
Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,Maruti,Alto K10,Alto K10 VXI,998.0,67.05,23.95,kmpl,90.0,3500.0,First,7,67.18436873747494,90.18036072144288,12.873904582205107,9.239996256883693,6.906754778648554,4.220242729097475,4.51085950651685,0,0,0,0,0,2
Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0,Toyota,Fortuner 4x4,Fortuner 4x4 MT,2967.0,168.5,12.55,kmpl,343.0,2400.0,First,11,56.791371755982475,115.60498820357263,14.220976332738882,11.251573687764477,7.995643604287271,5.1328529268205045,5.840641657373398,1,0,1,1,0,3
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0,Toyota,Innova 2.5,Innova 2.5 G (Diesel) 7 Seater BS IV,2494.0,100.0,12.99,kmpl,200.0,2400.0,First,12,40.09623095429029,80.19246190858058,13.45883704259595,11.502885230075814,7.822044008185619,4.61512051684126,5.303304908059076,0,0,1,0,0,4
Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5.0,Mercedes-Benz,B Class,B Class B180,2143.0,120.7,14.8,kmpl,200.0,2625.0,Second,11,56.32291180587961,93.32711152589829,14.187074804051692,10.2328272702548,7.670428522190693,4.801558999993482,5.303304908059076,1,0,0,0,0,3
Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5.0,Honda,Amaze S,Amaze S Diesel,1498.0,98.63,24.7,kmpl,200.0,1750.0,First,10,65.8411214953271,133.5113484646195,12.959846800844963,10.815790343132422,7.312553498102598,4.601463324056765,5.303304908059076,0,0,0,0,0,0
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7.0,Mitsubishi,Pajero Sport,Pajero Sport 4X4,2477.0,175.56,13.5,kmpl,400.0,2250.0,First,12,70.87605974969722,161.48566814695198,13.901689171636098,11.92504173829169,7.815207062189088,5.173660761948481,5.993961427306569,0,0,1,1,1,3
Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,Honda,City i,City i DTEC S,1498.0,98.6,26.0,kmpl,200.0,1750.0,First,10,65.82109479305741,133.5113484646195,13.304686600863562,10.909637269778615,7.312553498102598,4.601162164590552,5.303304908059076,0,0,0,0,0,0
Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5.0,Maruti,Ciaz Zeta,Ciaz Zeta,1462.0,103.25,20.65,kmpl,138.0,4400.0,First,7,70.62243502051983,94.39124487004104,13.652992804936396,11.06665398721974,7.288244401020124,4.646791860678911,4.9344739331306915,0,0,0,0,0,2
Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,Honda,Jazz VX,Jazz VX Diesel,1498.0,98.6,27.3,kmpl,200.0,1750.0,First,10,65.82109479305741,133.5113484646195,13.171155446333852,11.050905878263567,7.312553498102598,4.601162164590552,5.303304908059076,0,0,0,0,0,0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,Toyota,Innova Crysta,Innova Crysta 2.8 ZX AT BSIV,2755.0,171.5,11.36,kmpl,360.0,2300.0,Second,9,62.25045372050817,130.6715063520871,14.316286451937186,11.757446872843532,7.9215356321335495,5.150397236471415,5.8888779583328805,1,0,1,1,1,3
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,Toyota,Innova 2.5,Innova 2.5 G (Diesel) 7 Seater,2494.0,100.6,12.99,kmpl,200.0,2400.0,First,9,40.336808340016034,80.19246190858058,13.76421831620775,11.502885230075814,7.822044008185619,4.6210435351443815,5.303304908059076,0,0,1,0,0,4
Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5.0,Audi,A6 2.0,A6 2.0 TDI Technology,1968.0,174.33,17.68,kmpl,380.0,2125.0,Second,12,88.58231707317074,193.08943089430895,14.375126917328105,10.431199791458543,7.585281078639126,5.166669912482037,5.942799375126701,1,0,0,1,1,3
Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0,Toyota,Corolla Altis,Corolla Altis 1.8 VL CVT,1798.0,138.03,14.28,kmpl,173.0,4000.0,First,7,76.7686318131257,96.21802002224693,14.279245203127035,10.12667110305036,7.4949862339505335,4.9346897371814515,5.159055299214529,1,0,0,0,0,2
Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0,Audi,A6 2.0,A6 2.0 TDI Design Edition,1968.0,187.74,18.53,kmpl,400.0,2375.0,First,12,95.39634146341464,203.2520325203252,14.340239086899256,10.819798284210286,7.585281078639126,5.240370406593187,5.993961427306569,1,0,0,1,1,3
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0,Mercedes-Benz,New C-Class,New C-Class 220 CDI AT,2143.0,170.0,14.84,kmpl,400.0,2100.0,First,12,79.32804479701355,186.65422305179658,14.169683073439028,10.985309671896763,7.670428522190693,5.14166355650266,5.993961427306569,1,0,0,1,1,3
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0,Tata,Manza ELAN,Manza ELAN Quadrajet BS IV,1248.0,88.8,21.12,kmpl,200.0,2375.0,First,14,71.15384615384615,160.25641025641025,12.487488878546145,11.695255355062795,7.130098510125578,4.497584975308154,5.303304908059076,0,0,0,0,0,0
Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,Hyundai,i10 Magna,i10 Magna,1197.0,78.9,20.36,kmpl,111.7,4000.0,Third+,14,65.91478696741855,93.31662489557226,12.154784614286667,11.608244735642321,7.088408778675395,4.380775852772229,4.724729421045731,0,0,0,0,0,1
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0,Hyundai,i20 Asta,i20 Asta 1.4 CRDi,1396.0,88.76,21.27,kmpl,219.6,2125.0,First,12,63.581661891117484,157.30659025787966,12.959846800844963,11.002116507732017,7.242082359256962,4.497139441774387,5.396351106819402,0,0,0,0,0,0
